Vuodenaika,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC),Pvm
Syksy,2.3266666666666667,-1.0,10.95,15.196666666666669,7.293333333333332,09-2015
Syksy,0.6967741935483871,-0.8064516129032258,3.7129032258064516,7.7,-0.1935483870967743,10-2015
Syksy,2.0933333333333337,0.5333333333333333,2.226666666666667,3.866666666666667,0.33333333333333326,11-2015
Talvi,1.9612903225806455,13.483870967741936,-2.4322580645161294,0.09999999999999994,-5.432258064516128,12-2015
Talvi,0.1387096774193548,21.516129032258064,-13.409677419354841,-9.587096774193549,-17.08387096774194,01-2016
Talvi,1.837931034482759,40.172413793103445,-3.8620689655172415,-1.420689655172414,-6.73448275862069,02-2016
Kevät,0.05483870967741936,45.935483870967744,-1.8064516129032258,1.5451612903225806,-5.093548387096775,03-2016
Kevät,0.45666666666666667,13.933333333333334,2.9533333333333336,7.246666666666666,-0.8233333333333334,04-2016
Kevät,0.18709677419354842,-1.0,10.490322580645163,16.464516129032255,4.506451612903226,05-2016
Kesä,1.5466666666666666,-1.0,13.393333333333334,18.07333333333333,8.503333333333334,06-2016
Kesä,2.809677419354839,-1.0,17.354838709677416,21.880645161290317,12.361290322580643,07-2016
Kesä,2.6548387096774193,-1.0,13.674193548387098,18.31612903225807,9.738709677419354,08-2016
Syksy,0.82,-1.0,10.059999999999999,14.183333333333332,6.110000000000001,09-2016
Syksy,-0.4774193548387097,-0.8064516129032258,3.25483870967742,5.896774193548389,0.3225806451612903,10-2016
Syksy,1.3733333333333335,4.533333333333333,-3.096666666666666,-1.0099999999999998,-5.483333333333333,11-2016
Talvi,1.0225806451612904,20.387096774193548,-4.203225806451612,-0.9516129032258063,-8.525806451612901,12-2016
Talvi,-0.0774193548387097,34.58064516129032,-5.529032258064514,-2.058064516129033,-9.264516129032259,01-2017
Talvi,0.3178571428571427,45.32142857142857,-6.635714285714286,-2.8928571428571432,-10.428571428571429,02-2017
Kevät,0.7193548387096773,55.54838709677419,-3.1225806451612916,0.9903225806451611,-7.2870967741935475,03-2017
Kevät,1.0033333333333334,46.4,-0.15666666666666665,3.8699999999999997,-4.183333333333334,04-2017
Kevät,0.4225806451612903,1.7096774193548387,4.790322580645161,9.309677419354838,-0.09999999999999991,05-2017
Kesä,0.25999999999999995,-1.0,12.393333333333334,16.813333333333336,6.960000000000002,06-2017
Kesä,1.2677419354838708,-1.0,15.690322580645164,20.619354838709675,10.496774193548385,07-2017
Kesä,2.7516129032258063,-1.0,13.841935483870973,18.04193548387097,10.006451612903223,08-2017
Syksy,0.8733333333333334,-1.0,9.103333333333332,12.5,6.0133333333333345,09-2017
Syksy,1.0903225806451613,-0.16129032258064516,2.87741935483871,5.083870967741935,0.6774193548387094,10-2017
Syksy,1.3766666666666667,8.03448275862069,-0.56,1.3066666666666669,-2.95,11-2017
Talvi,1.6967741935483869,28.903225806451612,-3.2612903225806456,-1.1709677419354838,-6.209677419354838,12-2017
Talvi,0.8612903225806451,48.25806451612903,-6.58709677419355,-3.806451612903226,-10.545161290322579,01-2018
Talvi,-0.6678571428571428,57.785714285714285,-12.853571428571428,-8.625,-16.97142857142857,02-2018
Kevät,-2.865091676452017e-17,64.83870967741936,-7.764516129032257,-3.1064516129032254,-13.396774193548387,03-2018
Kevät,0.1533333333333333,47.733333333333334,1.633333333333333,7.386666666666668,-3.6566666666666663,04-2018
Kevät,-0.39354838709677425,-0.8333333333333334,11.461290322580645,18.00322580645162,4.325806451612902,05-2018
Kesä,1.0233333333333334,-1.0,12.523333333333335,16.849999999999998,7.443333333333336,06-2018
Kesä,-0.10645161290322583,-1.0,20.700000000000003,26.658064516129038,13.799999999999999,07-2018
Kesä,2.274193548387097,-1.0,15.58709677419355,20.509677419354833,10.829032258064515,08-2018
Syksy,1.7266666666666668,-1.0,10.580000000000004,14.923333333333337,6.749999999999998,09-2018
Syksy,0.8483870967741934,-0.8387096774193549,3.677419354838709,7.3354838709677415,0.2193548387096774,10-2018
Syksy,0.27333333333333326,-0.9,1.676666666666667,4.08,-0.9400000000000002,11-2018
Talvi,1.0129032258064516,13.161290322580646,-4.4870967741935495,-2.390322580645161,-7.593548387096774,12-2018
Talvi,0.11935483870967743,31.419354838709676,-12.512903225806454,-8.416129032258064,-16.51290322580645,01-2019
Talvi,1.1750000000000005,52.785714285714285,-6.585714285714286,-2.0500000000000003,-11.853571428571428,02-2019
Kevät,1.209677419354839,58.74193548387097,-3.667741935483871,0.0387096774193549,-7.916129032258065,03-2019
Kevät,-0.5866666666666667,28.766666666666666,3.4500000000000006,8.990000000000002,-2.0366666666666666,04-2019
Kevät,1.8645161290322583,-0.7741935483870968,7.745161290322581,12.506451612903223,2.9032258064516134,05-2019
Kesä,1.4766666666666666,-1.0,14.45,19.576666666666668,8.719999999999997,06-2019
Kesä,-0.6806451612903226,-1.0,15.190322580645159,20.141935483870967,9.258064516129034,07-2019
Kesä,1.4903225806451614,-1.0,13.896774193548387,18.835483870967746,8.993548387096773,08-2019
Syksy,0.9033333333333337,-1.0,8.98,13.430000000000001,4.9,09-2019
Syksy,1.9000000000000001,-0.4838709677419355,1.9322580645161291,4.699999999999999,-0.7096774193548389,10-2019
Syksy,1.7233333333333334,11.966666666666667,-3.1466666666666665,-1.0633333333333328,-5.603333333333334,11-2019
Talvi,0.9580645161290322,25.225806451612904,-1.8548387096774195,0.3645161290322579,-4.629032258064517,12-2019
Talvi,1.3096774193548388,24.096774193548388,-2.141935483870968,0.41935483870967794,-5.132258064516129,01-2020
Talvi,1.3620689655172413,32.535714285714285,-3.9379310344827583,-0.39999999999999997,-7.544827586206897,02-2020
Kevät,0.3870967741935483,36.29032258064516,-1.8258064516129031,2.0516129032258066,-5.9225806451612915,03-2020
Kevät,-0.04,25.166666666666668,0.47000000000000014,4.6033333333333335,-3.4966666666666666,04-2020
Kevät,0.15806451612903222,-0.6129032258064516,6.803225806451613,11.619354838709675,0.5129032258064514,05-2020
Kesä,1.1400000000000001,-1.0,16.926666666666666,22.38333333333333,10.093333333333334,06-2020
Kesä,5.1454545454545455,-1.0,14.72727272727273,19.500000000000004,9.531818181818183,07-2020
